Reactant_Count,Product_Count,Reactant_Name_1,Reactant_ID_1,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Critical Temperature,Octanol/Water partition coefficient,Reactant_Name_2,Reactant_ID_2,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Critical Temperature,Octanol/Water partition coefficient,Product_Name_1,Product_ID_1,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Critical Temperature,Octanol/Water partition coefficient,Product_Name_2,Product_ID_2,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Critical Temperature,Octanol/Water partition coefficient
2,2,MeS-anion,17302-63-5,49.12,0,0,2,1,0,1,1,2,0,N/A,N/A,6369.39,N/A,477.24,0.163,Isopropyl-Alcohol,67-63-0,60.10,0,0,10,1,1,1,0,4,0,N/A,16.23,2972.2916666666665,1.70,364.7847826086957,0.387,MeS-anion,17302-63-5,49.12,0,0,2,1,0,1,1,2,0,N/A,N/A,6369.39,N/A,477.24,0.163,Isopropyl-Alcohol,67-63-0,60.10,0,0,10,1,1,1,0,4,0,N/A,16.23,2972.2916666666665,1.70,364.7847826086957,0.387
2,2,CN-,532-27-4,154.59,2,0,116,0,1,1,0,10,0,N/A,15.926666666666668,3768.41,N/A,728.04,2.108,Isopropyl-Alcohol,67-63-0,60.10,0,0,10,1,1,1,0,4,0,N/A,16.23,2972.2916666666665,1.70,364.7847826086957,0.387,CN-,532-27-4,154.59,2,0,116,0,1,1,0,10,0,N/A,15.926666666666668,3768.41,N/A,728.04,2.108,Isopropyl-Alcohol,67-63-0,60.10,0,0,10,1,1,1,0,4,0,N/A,16.23,2972.2916666666665,1.70,364.7847826086957,0.387
2,1,Ketene,463-51-4,42.04,0,0,25,0,1,1,0,3,0,N/A,16.031111111111112,6500.00,1.40,380.00,0.004,Isopropyl-Alcohol,67-63-0,60.10,0,0,10,1,1,1,0,4,0,N/A,16.23,2972.2916666666665,1.70,364.7847826086957,0.387,Isopropyl-acetate,108-21-4,102.13,2,0,66,0,2,1,0,7,0,N/A,17.485,3290.00 ± 20.00,N/A,354.3333333333333,0.958,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,Ketene,463-51-4,42.04,0,0,25,0,1,1,0,3,0,N/A,16.031111111111112,6500.00,1.40,380.00,0.004,1-Propanol,71-23-8,60.10,1,0,7,1,1,1,0,4,0,N/A,15.432857142857143,3058.962962962963,1.70,53.693333333333335,0.389,n-Propyl-acetate,109-60-4,102.13,3,0,59,0,2,1,0,7,0,N/A,15.0,3432.5,4092.04,568.66,0.959,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,2-Propen-1-ol,107-18-6,58.08,1,0,17,1,1,1,0,4,0,N/A,13.646,5475.0,1564.2857142857142,163.51999999999998,0.165,Hydrogen,1333-74-0,2.016,0,0,0,0,0,1,0,0,0,N/A,22.856666666666666,134.24137931034483,0.00,3.2041935483870962,0.246,1-Propanol,71-23-8,60.10,1,0,7,1,1,1,0,4,0,N/A,15.432857142857143,3058.962962962963,1.70,53.693333333333335,0.389,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,Propanal,123-38-6,58.08,1,0,17,0,1,1,0,4,0,9.99e-04 ± 8.70e-05,12.444166666666668,3193.306111111111,2.52,204.06400000000002,0.595,Hydrogen,1333-74-0,2.016,0,0,0,0,0,1,0,0,0,N/A,22.856666666666666,134.24137931034483,0.00,3.2041935483870962,0.246,1-Propanol,71-23-8,60.10,1,0,7,1,1,1,0,4,0,N/A,15.432857142857143,3058.962962962963,1.70,53.693333333333335,0.389,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,2,Isopropyl-Alcohol,67-63-0,60.10,0,0,10,1,1,1,0,4,0,N/A,16.23,2972.2916666666665,1.70,364.7847826086957,0.387,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hydrogen,1333-74-0,2.016,0,0,0,0,0,1,0,0,0,N/A,22.856666666666666,134.24137931034483,0.00,3.2041935483870962,0.246,Acetone,67-64-1,58.08,0,0,26,0,1,1,0,4,0,0.00,13.86714285714286,4700.00,2.90,508.10,0.595
2,2,Isopropyl-Alcohol,67-63-0,60.10,0,0,10,1,1,1,0,4,0,N/A,16.23,2972.2916666666665,1.70,364.7847826086957,0.387,Nitric-acid,7697-37-2,63.013,0,0,24,1,3,1,0,4,0,1.1300000000000001,11.686666666666667,8058.04,N/A,648.46,-0.348,"Nitric-acid,-1-methylethyl-ester",1712-64-7,105.09,1,0,65,0,3,1,0,7,0,N/A,N/A,4426.72,N/A,655.21,0.603,Water,7732-18-5,18.015,0,0,0,1,1,1,0,1,0,N/A,18.532187500000003,5225.368421052632,1.80,647.14,N/A
2,2,1-Propanol,71-23-8,60.10,1,0,7,1,1,1,0,4,0,N/A,15.432857142857143,3058.962962962963,1.70,53.693333333333335,0.389,Nitric-acid,7697-37-2,63.013,0,0,24,1,3,1,0,4,0,1.1300000000000001,11.686666666666667,8058.04,N/A,648.46,-0.348,"Nitric-acid,-propyl-ester",627-13-4,105.09,2,0,57,0,3,1,0,7,0,N/A,11.07 ± 0.02,4379.97,N/A,650.60,0.605,Water,7732-18-5,18.015,0,0,0,1,1,1,0,1,0,N/A,18.532187500000003,5225.368421052632,1.80,647.14,N/A
2,1,"1-Propene,-2-methyl-",115-11-7,56.11,0,0,23,0,0,1,0,4,0,N/A,12.086923076923076,1412.3776470588234,0.50,139.51238095238097,1.582,Isopropyl-Alcohol,67-63-0,60.10,0,0,10,1,1,1,0,4,0,N/A,16.23,2972.2916666666665,1.70,364.7847826086957,0.387,"Propane,-2-methyl-2-(1-methylethoxy)-",17348-59-3,116.20,2,0,59,0,1,1,0,8,0,N/A,9.20,2829.33,N/A,557.69,2.210,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
