Reactant_Count,Product_Count,Reactant_Name_1,Reactant_ID_1,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Critical Temperature,Octanol/Water partition coefficient,Reactant_Name_2,Reactant_ID_2,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Critical Temperature,Octanol/Water partition coefficient,Product_Name_1,Product_ID_1,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Critical Temperature,Octanol/Water partition coefficient,Product_Name_2,Product_ID_2,MolecularWeight,RotatableBondCount,DefinedBondStereoCount,Complexity,HBondDonorCount,HBondAcceptorCount,CovalentUnitCount,Charge,HeavyAtomCount,IsotopeAtomCount,Electron affinity,Ionization energy,Critical Pressure,Dipole Moment,Critical Temperature,Octanol/Water partition coefficient
2,1,Ketene,463-51-4,42.04,0,0,25,0,1,1,0,3,0,N/A,16.031111111111112,6500.00,1.40,380.00,0.004,1-Butanol,71-36-3,74.12,2,0,13,1,1,1,0,5,0,N/A,15.825454545454546,2408.181818181818,1.80,412.2173333333334,0.779,"Acetic-acid,-butyl-ester",123-86-4,116.16,4,0,68,0,2,1,0,8,0,N/A,15.835999999999999,1940.0,1.80,407.81428571428575,1.350,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,Ketene,463-51-4,42.04,0,0,25,0,1,1,0,3,0,N/A,16.031111111111112,6500.00,1.40,380.00,0.004,"2-Propanol,-2-methyl-",75-65-0,74.12,0,0,25,1,1,1,0,5,0,N/A,15.126250000000002,1676.3333333333333,1.70,213.38684210526313,0.777,"Acetic-acid,-1,1-dimethylethyl-ester",540-88-5,116.16,2,0,89,0,2,1,0,8,0,N/A,N/A,3040.00,N/A,599.15,1.348,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,Ketene,463-51-4,42.04,0,0,25,0,1,1,0,3,0,N/A,16.031111111111112,6500.00,1.40,380.00,0.004,"1-Propanol,-2-methyl-",78-83-1,74.12,1,0,17,1,1,1,0,5,0,N/A,16.786666666666665,4295.00,1.70,387.13352941176464,0.635,Isobutyl-acetate,110-19-0,116.16,3,0,76,0,2,1,0,8,0,N/A,9.97,5180.0,1.90,563.3714285714285,1.205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,2,CN-,532-27-4,154.59,2,0,116,0,1,1,0,10,0,N/A,15.926666666666668,3768.41,N/A,728.04,2.108,"2-Propanol,-2-methyl-",75-65-0,74.12,0,0,25,1,1,1,0,5,0,N/A,15.126250000000002,1676.3333333333333,1.70,213.38684210526313,0.777,CN-,532-27-4,154.59,2,0,116,0,1,1,0,10,0,N/A,15.926666666666668,3768.41,N/A,728.04,2.108,"2-Propanol,-2-methyl-",75-65-0,74.12,0,0,25,1,1,1,0,5,0,N/A,15.126250000000002,1676.3333333333333,1.70,213.38684210526313,0.777
1,2,Ethanol,64-17-5,46.07,0,0,2,1,1,1,0,3,0,N/A,13.873636363636363,4089.7530232558142,1.70,344.7642352941177,-0.001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Ethyl-ether,60-29-7,74.12,2,0,11,0,1,1,0,5,0,N/A,13.890909090909092,4126.962666666667,1.30,428.5770491803279,1.043,Water,7732-18-5,18.015,0,0,0,1,1,1,0,1,0,N/A,18.532187500000003,5225.368421052632,1.80,647.14,N/A
2,1,Maleic-anhydride,108-31-6,98.06,0,0,129,0,3,1,0,7,0,2.853333333333333,7.977142857142858,5990.66,N/A,719.14,-0.374,1-Butanol,71-36-3,74.12,2,0,13,1,1,1,0,5,0,N/A,15.825454545454546,2408.181818181818,1.80,412.2173333333334,0.779,"2-Butenedioic-acid-(Z)-,-monobutyl-ester",925-21-3,172.18,6,1,184,1,4,1,0,12,0,N/A,N/A,3329.68,N/A,792.02,0.970,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,Vinyl-ether,109-93-3,70.09,2,0,32,0,1,1,0,5,0,N/A,8.68 ± 0.05,4244.08,N/A,477.23,1.290,Hydrogen,1333-74-0,2.016,0,0,0,0,0,1,0,0,0,N/A,22.856666666666666,134.24137931034483,0.00,3.2041935483870962,0.246,Ethyl-ether,60-29-7,74.12,2,0,11,0,1,1,0,5,0,N/A,13.890909090909092,4126.962666666667,1.30,428.5770491803279,1.043,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,"Ethene,-ethoxy-",109-92-2,72.11,2,0,24,0,1,1,0,5,0,N/A,8.98,6109.79,1.30,356.25,1.166,Hydrogen,1333-74-0,2.016,0,0,0,0,0,1,0,0,0,N/A,22.856666666666666,134.24137931034483,0.00,3.2041935483870962,0.246,Ethyl-ether,60-29-7,74.12,2,0,11,0,1,1,0,5,0,N/A,13.890909090909092,4126.962666666667,1.30,428.5770491803279,1.043,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,Butanal,123-72-8,72.11,2,0,24,0,1,1,0,5,0,6.94e-04,15.252222222222223,1178.1818181818182,2.60,191.84285714285716,0.985,Hydrogen,1333-74-0,2.016,0,0,0,0,0,1,0,0,0,N/A,22.856666666666666,134.24137931034483,0.00,3.2041935483870962,0.246,1-Butanol,71-36-3,74.12,2,0,13,1,1,1,0,5,0,N/A,15.825454545454546,2408.181818181818,1.80,412.2173333333334,0.779,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,1,"1-Propene,-2-methyl-",115-11-7,56.11,0,0,23,0,0,1,0,4,0,N/A,12.086923076923076,1412.3776470588234,0.50,139.51238095238097,1.582,1-Butanol,71-36-3,74.12,2,0,13,1,1,1,0,5,0,N/A,15.825454545454546,2408.181818181818,1.80,412.2173333333334,0.779,1-Tert-butoxybutane,1000-63-1,130.23,4,0,61,0,1,1,0,9,0,N/A,N/A,2540.49,N/A,576.09,2.602,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
